category,min,max
infancytoddlerhood,0,3
earlychildhood,3,8
middlechildhoodprepubertal,8,12
adolescence,12,18
youngadulthood,18,40
middleadulthood,40,65
lateadulthood,65,125
0-1,0,1
1-2,1,2
2-3,2,3
3-4,3,4
4-5,4,5
5-6,5,6
6-7,6,7
7-8,7,8
8-9,8,9
9-10,9,10
10-11,10,11
11-12,11,12
12-13,12,13
13-14,13,14
14-15,14,15
15-16,15,16
16-17,16,17
17-18,17,18
18-19,18,19
19-20,19,20
20-25,20,25
25-30,25,30
30-35,30,35
35-40,35,40
40-45,40,45
45-50,45,50
50-55,50,55
55-60,55,60
60-65,60,65
65-70,65,70
70-75,70,75
75-80,75,80
80-85,80,85
85-90,85,90
90-95,90,95
95-100,95,100
100-105,100,105
105-110,105,110
110-115,110,115
115-120,115,120
120-125,120,125
